ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
0,"(276, 229)","(337, 225)","(343, 285)","(283, 289)",2.044826166381411,-4.130440913573378
0,"(238, 213)","(303, 211)","(307, 273)","(243, 276)",1.999923468079985,-3.083332304064049
0,"(200, 203)","(268, 202)","(273, 265)","(204, 269)",1.967577169493987,-3.7353313767239973
0,"(174, 198)","(244, 196)","(249, 263)","(179, 266)",1.9125158788735745,-3.008632568836829
0,"(146, 196)","(221, 195)","(226, 265)","(152, 268)",1.84732126472625,-2.7216721869372336
0,"(145, 189)","(221, 187)","(227, 257)","(152, 260)",1.8612715667356854,-3.746996569379678
0,"(64, 164)","(149, 164)","(153, 240)","(70, 243)",1.7673158124833,-2.845952238278444
7,"(857, 324)","(854, 273)","(913, 266)","(918, 321)",2.0432402265464136,-88.15851444409995
7,"(740, 280)","(737, 227)","(794, 220)","(796, 274)",2.0263395002520888,-97.46702388838813
7,"(721, 277)","(718, 223)","(774, 218)","(776, 272)",2.060529294615689,-95.86751181324945
7,"(644, 253)","(647, 199)","(701, 196)","(700, 250)",2.0101438359462653,-87.52540316219662
7,"(596, 281)","(594, 229)","(647, 224)","(648, 277)",2.0978842884466387,-91.80678506112285
7,"(534, 283)","(530, 232)","(583, 227)","(585, 279)",2.1556495046689172,-91.20397465278722
7,"(412, 263)","(409, 211)","(461, 208)","(463, 260)",2.242352456867213,-92.8791127587458
7,"(363, 278)","(360, 226)","(412, 222)","(415, 274)",2.255149730060195,-94.12328967603158
7,"(333, 287)","(329, 234)","(382, 230)","(386, 283)",2.250673605722326,-94.31602751635194
7,"(332, 290)","(326, 236)","(380, 232)","(385, 285)",2.242093020887501,-91.18522901019571
7,"(347, 292)","(341, 237)","(395, 232)","(401, 286)",2.181163574696332,-95.72239787439035
7,"(377, 293)","(371, 237)","(426, 233)","(432, 289)",2.1112002934946683,-94.13965780479832
7,"(415, 291)","(409, 234)","(464, 229)","(470, 286)",2.048234765212551,-94.8618833550617
7,"(471, 296)","(467, 237)","(525, 234)","(528, 292)",1.9627387060464776,-91.2513969894466
7,"(492, 273)","(489, 212)","(548, 209)","(551, 269)",1.9204020718836161,-90.77629015217136
7,"(522, 285)","(518, 222)","(580, 218)","(583, 281)",1.8118965132989566,-93.00202102798211
7,"(530, 291)","(527, 225)","(589, 221)","(593, 286)",1.7405441173153815,-92.89441578803687
7,"(538, 291)","(534, 225)","(599, 220)","(602, 286)",1.714496273305036,-93.15321109127072
7,"(550, 270)","(550, 196)","(617, 194)","(617, 266)",1.5659864942871988,-88.85527274192685
7,"(570, 295)","(567, 223)","(635, 218)","(639, 289)",1.5839302458832063,-92.36672703645276
7,"(569, 269)","(566, 195)","(637, 190)","(639, 263)",1.5449745070379386,-91.2052304586271
7,"(555, 273)","(550, 193)","(625, 187)","(628, 266)",1.4390486777059144,-91.96490251442624
7,"(562, 277)","(557, 196)","(633, 189)","(637, 270)",1.411521461231983,-93.13139890001379
7,"(590, 295)","(587, 209)","(666, 204)","(669, 289)",1.3323324720089509,-91.95376038947562
